date,awake_minutes,restless_minutes,asleep_minutes,total_minutes_in_bed,id
2016-03-11,0,8,23,31,6962181067
2016-03-12,0,11,522,533,6962181067
2016-03-13,3,11,483,497,6962181067
2016-03-14,3,27,431,461,6962181067
2016-03-15,8,21,360,389,6962181067
2016-03-16,0,25,329,354,6962181067
2016-03-17,0,14,381,395,6962181067
2016-03-18,5,28,421,454,6962181067
2016-03-19,0,12,487,499,6962181067
2016-03-20,0,18,449,467,6962181067
2016-03-21,0,7,427,434,6962181067
2016-03-22,5,8,537,550,6962181067
2016-03-23,0,5,563,568,6962181067
2016-03-24,2,11,461,474,6962181067
2016-03-25,3,22,503,528,6962181067
2016-03-26,2,9,476,487,6962181067
2016-03-27,3,33,516,552,6962181067
2016-03-28,3,20,515,538,6962181067
2016-03-29,0,2,397,399,6962181067
2016-03-30,1,13,418,432,6962181067
2016-03-31,2,18,509,529,6962181067
2016-04-01,0,5,527,532,6962181067
2016-04-02,1,15,399,415,6962181067
2016-04-03,5,26,537,568,6962181067
2016-04-04,4,32,363,399,6962181067
2016-04-05,8,40,358,406,6962181067
2016-04-06,2,26,474,502,6962181067
2016-04-07,0,7,423,430,6962181067
2016-04-08,0,1,402,403,6962181067
2016-04-09,4,17,434,455,6962181067
2016-04-10,0,15,414,429,6962181067
2016-04-11,0,13,393,406,6962181067
2016-04-12,3,18,370,391,6962181067
2016-04-13,11,47,660,718,6962181067
2016-04-14,2,16,474,492,6962181067
2016-04-15,2,14,370,386,6962181067
2016-04-16,4,5,357,366,6962181067
2016-04-17,3,16,474,493,6962181067
2016-04-18,4,21,433,458,6962181067
2016-04-19,4,49,457,510,6962181067
2016-04-20,0,6,446,452,6962181067
2016-04-21,0,5,433,438,6962181067
2016-04-22,3,19,456,478,6962181067
2016-04-23,0,4,468,472,6962181067
2016-04-24,1,5,515,521,6962181067
2016-04-25,3,12,440,455,6962181067
2016-04-26,1,8,454,463,6962181067
2016-04-27,0,6,413,419,6962181067
2016-04-28,2,17,466,485,6962181067
2016-04-29,0,7,392,399,6962181067
2016-04-30,0,2,422,424,6962181067
2016-05-01,3,16,484,503,6962181067
2016-05-02,5,11,399,415,6962181067
2016-05-03,4,18,440,462,6962181067
2016-05-04,2,12,408,422,6962181067
2016-05-05,6,26,476,508,6962181067
2016-05-06,0,8,416,424,6962181067
2016-05-07,11,27,329,367,6962181067
2016-05-08,6,26,534,566,6962181067
2016-05-09,0,2,536,538,6962181067
2016-05-10,2,16,425,443,6962181067
2016-05-11,2,23,476,501,6962181067
2016-05-12,2,14,465,481,6962181067
